doc_id,context,question,ground_truth,municipality
11,Each dwelling unit shall have a width of not less than 5.03 m (16.5 ft.). ,What is the minimum width of dwelling units?,5.03 m (16.5 ft.),Burnaby
12,"The maximum floor area ratio in the RM6 and RM6r Districts shall be 0.70.  For clarity, the maximum floor area ratio permitted in the RM6r District shall be in addition to the FAR permitted for any other zoning district on the lot, including the RM6 District.",What is the maximum floor area ratio?,0.70,Burnaby
13,Each lot shall have a front yard of not less than 4.57 m (15 ft.) in depth.,What is the minimum front yard depth?,4.57 m (15 ft.),Burnaby
14,"Each lot shall have an area of not less than 620 m2 (6,673.84 sq.ft.) and a width of not less than 20.12 m (66 ft.).",What is the minimum lot width?,20.12 m (66 ft.),Burnaby
15,"Each lot shall have a side yard on each side of the building of not less than 1.5 m (4.92 ft.) in width, except that a corner lot shall have a side yard abutting the street of not less than 3.0 m (9.84 ft.).",What is the minimum width of a lot side yard for a corner lot?,3.0 m (9.84 ft.),Burnaby
16,A rear yard shall be provided of not less than 4.57 m (15 ft.) in depth.,What is the minimum depth of a rear yard?,4.57 m (15 ft.),Burnaby
17,The width of the building shall at no point exceed 30.48 m (100 ft.).,What is the minimum width of a building?,30.48 m (100 ft.),Burnaby
18,Off-street vehicle parking shall be provided and maintained in accordance with Schedule VIII of this Bylaw. (B/L No. 14636-24-03-11),What are the requirements for off-street vehicle parking?,Off-street vehicle parking shall be provided and maintained in accordance with Schedule VIII of this Bylaw,Burnaby
19,The height of a building shall not exceed 37 m (121.39 ft.) nor 10 storeys.,What is the maximum building height?,37 m (121.39 ft.) nor 10 storeys,Burnaby
20,"The maximum floor area ratio shall be 5.00. Where structured parking is provided due to topographic or geotechnical considerations as determined by the Director Planning and Building, or underground parking is constructed, the floor area ratio may be increased by 1.00 multiplied by the ratio of parking spaces provided in underground parking or such structured parking to the total parking spaces provided, but in no case shall the floor area ratio exceed 6.00. (B/L No. 14206-20-10-26)",What is the maximum floor area ratio?,5.00,Burnaby
21,"The maximum floor space ratio is 0.70, except that the Director of Planning may increase:",What is the maximum floor space ratio?,0.70,Vancouver
22,"In the R4-1 district, for mid-rise apartment: (a) the maximum floor space ratio is 4.00; and (b) if section 3.1.1.2 above applies: (i) a minimum of 20% of the residential floor area must be secured as below-market rental dwelling units, or (ii) 100% of the residential floor area must be developed as social housing.  ",What is the maximum floor space ratio?,4.00,Vancouver
23,"In the R5-2 district, for high-rise apartment: (a) the form of tenure must be residential rental tenure for 100% of the residential floor area; and (b) the maximum floor space ratio is 5.50 provided that: (i) a minimum of 20% of the residential floor area is secured as below-market rental dwelling units, or (ii) 100% of the residential floor area is developed as social housing.  ",What is the maximum floor space ratio?,5.50,Vancouver
24,Minimum site area 460 m2,What is the minimum site area?,460 m2,Vancouver
25,"Minimum site area for: (a) corner site 1,348 m2 (b) all other sites 1,532 m2",What is the minimum site area for a corner site?,"1,348 m2",Vancouver
26,"Unless otherwise referenced in subsections (2), (3) and (4), the maximum building height is 11.0 metres measured from grade.",What is the maximum building height?,11.0 metres,Calgary
27,"Unless otherwise referenced in subsection (2), the maximum building height is 12.0 metres.",What is the maximum building height?,12.0 metres,Calgary
28,"Unless otherwise referenced in subsections (2) and (3), the maximum building height is 16.0 metres.",What is the maximum building height?,16.0 metres,Calgary
29,The minimum number of motor vehicle parking stalls is calculated based on the sum of all units and suites at a rate of 1.0 stalls per unit or suite.,What is the minimum number of motor vehicle parking stalls required?,calculated based on the sum of all units and suites at a rate of 1.0 stalls per unit or suite,Calgary
30,The maximum density for parcels designated M-CG District is 111 units per hectare.,What is the maximum density for parcels in the M-CG District?,111 units per hectare,Calgary
31,"The minimum size and width of lots which may be created by subdivision in this Zone are as follows: Minimum Lot Size is 557 m2 [5,995.69 ft2], Minimum Lot Width is 16.0 m [52.49 ft]",What is the minimum lot size in square metres?,447 m2,City of Langley
32,Size of Buildings and Structures: Principal Building Maximum # Units is 4; 6 if within 400 m of frequent bus stop and Maximum Height is 9.0 m [29.53ft]. Accessory Buildings and Structures Maximum # Units is n/a and Maximum Height is 4.6 m [15.09 ft].,What is the maximum number of units for a Principal Building?,4; 6 if within 400 m of frequent bus stop,City of Langley
33,Off-street parking shall be provided and maintained in accordance with Section I.E. of this Bylaw.,What are the requirements for off-street vehicle parking?, in accordance with Section I.E. of this Bylaw,City of Langley
34,"Siting of Buildings and Structures. Minimum Lot Line Setback for a Principal Building: Front is 7.5m [24.61 ft], Rear is 7.5m [24.61 ft], Interior is 1.5m [4.92 ft], Exterior is 4.5m [14.76 ft]. Minimum Lot Line Setback for Accessory Buildings and Structures: Front is 7.5m [24.61 ft], Rear is 1.5m [4.92 ft], Interior is 1.5m [4.92 ft], Exterior is 4.5m [14.76 ft].",What are the rear and front setbacks for a principal building?,"Front is 7.5m [24.61 ft], Rear is 7.5m [24.61 ft]",City of Langley
35,"The minimum size and width of lots which may be created by subdivision in this Zone are as follows: Minimum Lot Size is 930 m2 [10,010.76 ft2], Minimum Lot Width is 18.0 m [59.05 ft]",What is the minimum lot size?,"930 m2 [10,010.76 ft2]",City of Langley
36,Size of Buildings and Structures: Principal Building Maximum # Units is 4; 6 if within 400 m of frequent bus stop and Maximum Height is 9.0 m [29.53ft]. Accessory Buildings and Structures Maximum # Units is n/a and Maximum Height is 4.6 m [16.09 ft].,What is the maximum number of units for a Principal Building?,4; 6 if within 400 m of frequent bus stop,City of Langley
37,Landscaping: Not Applicable to this Zone.,What are the landscaping requirements for this zone?,Not Applicable,City of Langley
38,"Siting of Buildings and Structures. Minimum Lot Line Setback for a Principal Building: Front is 7.5m [24.61 ft], Rear is 7.5m [24.61 ft], Interior is 3.0m [9.84 ft], Exterior is 4.5m [14.76 ft]. Minimum Lot Line Setback for Accessory Buildings and Structures: Front is 7.5m [24.61 ft], Rear is 1.5m [4.92 ft], Interior is 3.0m [9.84 ft], Exterior is 4.5m [14.76 ft].",What is the interior setback for a principal building?,3.0m [9.84 ft],City of Langley
39,"Other Regulations: In addition, land use regulations including the following are applicable: (a) General provisions on use are set out in Section I.D. of this Bylaw. (b) Building Permits shall be subject to the City of Langley Building and Plumbing Bylaw and the Development Cost Charge Bylaw. (c) Subdivisions shall be subject to the City of Langley Subdivision Control Bylaw and the Development Cost Charge Bylaw. (d) Development Permits may be required in accordance with the Official Community Plan. (e) Sign Permits shall be subject to the City of Langley Sign Bylaw. (f) Secondary Suites shall comply with Section I.D.4.(c) of this Bylaw.",Where are the general provisions set out in this Bylaw?,Section I.D.,City of Langley
40,"The minimum size and width of lots which may be created by subdivision in this Zone are as follows: Minimum Lot Size is 222 m2 [2,389.66 ft2], Minimum Lot Width is n/a",What is the minimum lot size?,"222 m2 [2,389.66 ft2]",City of Langley
41,"Buildings erected, altered or used for R-1 uses in an R-1 Zone shall comply with the following requirements: (a) lot frontage minimum 50 feet except when a lot faces on the outer side of a curve in the street, in which case the min. frontage may be reduced to 30 feet (b) lot area minimum 5,000 square feet (ba) Notwithstanding clause (b), the minimum lot area, for lots abutting an inland watercourse in the ""Mainland South Area"", shall be 6,000 square feet; (c) lot coverage maximum 35 percent (ca) height maximum 35 feet (d) floor coverage of living 950 square feet space, minimum (e) every building shall be at least 12 feet from any other building and at least 8 feet from the rear and both side lines of the lot on which it is situated and at least 20 feet from any street line in front of such building",What is the minimum lot frontage?,"50 feet except when a lot faces on the outer side of a curve in the street, in which case the min. frontage may be reduced to 30 feet",Halifax
42,"Buildings erected, altered or used for R-1 uses in an R-1 Zone shall comply with the following requirements: (a) lot frontage minimum 50 feet except when a lot faces on the outer side of a curve in the street, in which case the min. frontage may be reduced to 30 feet (b) lot area minimum 5,000 square feet (ba) Notwithstanding clause (b), the minimum lot area, for lots abutting an inland watercourse in the ""Mainland South Area"", shall be 6,000 square feet; (c) lot coverage maximum 35 percent (ca) height maximum 35 feet (d) floor coverage of living 950 square feet space, minimum (e) every building shall be at least 12 feet from any other building and at least 8 feet from the rear and both side lines of the lot on which it is situated and at least 20 feet from any street line in front of such building",What is the minimum lot area?,"5,000 square feet",Halifax
43,"Buildings erected, altered or used for R-1 uses in an R-1 Zone shall comply with the following requirements: (a) lot frontage minimum 50 feet except when a lot faces on the outer side of a curve in the street, in which case the min. frontage may be reduced to 30 feet (b) lot area minimum 5,000 square feet (ba) Notwithstanding clause (b), the minimum lot area, for lots abutting an inland watercourse in the ""Mainland South Area"", shall be 6,000 square feet; (c) lot coverage maximum 35 percent (ca) height maximum 35 feet (d) floor coverage of living 950 square feet space, minimum (e) every building shall be at least 12 feet from any other building and at least 8 feet from the rear and both side lines of the lot on which it is situated and at least 20 feet from any street line in front of such building",What is the minimum lot coverage?,35 percent,Halifax
44,"Buildings erected, altered or used for R-1 uses in an R-1 Zone shall comply with the following requirements: (a) lot frontage minimum 50 feet except when a lot faces on the outer side of a curve in the street, in which case the min. frontage may be reduced to 30 feet (b) lot area minimum 5,000 square feet (ba) Notwithstanding clause (b), the minimum lot area, for lots abutting an inland watercourse in the ""Mainland South Area"", shall be 6,000 square feet; (c) lot coverage maximum 35 percent (ca) height maximum 35 feet (d) floor coverage of living 950 square feet space, minimum (e) every building shall be at least 12 feet from any other building and at least 8 feet from the rear and both side lines of the lot on which it is situated and at least 20 feet from any street line in front of such building",What is the maximum height?,35 feet,Halifax
45,"where a building is situated on a corner lot, it shall be at least 10 feet from the flanking street line abutting such lot.",What are the requirements for a building on a corner lot?,it shall be at least 10 feet from the flanking street line abutting such lot,Halifax
46,"Lot area minimum 5,000 square feet",What is the minimum lot area?,"5,000 square feet",Halifax
47,"Buildings erected, altered or used for R-2 uses in an R-2 Zone shall comply with the following requirements: (a) Lot frontage minimum 50 feet except when a lot faces on the outer side of a curve in the street, in which case the minimum frontage may be reduced to 30 feet (b) Lot area minimum 5,000 square feet (ba) Notwithstanding clause (b), the minimum lot area for lots abutting an inland watercourse in the ""Mainland South Area"", shall be 6,000 square feet; (c) Lot coverage maximum 35 percent (ca) The maximum height shall be 35 feet (d) Floor coverage of 900 square feet living space, minimum (e) Every building shall be at least 12 feet from any other building and at least 8 feet from the rear and both side lines of the lot on which it is situated and at least 20 feet from any street line in front of such building;",What is the maximum height?,35 feet,Halifax
48,"Notwithstanding the provisions of other requirements: (1) For each unit of a semi-detached dwelling, the minimum lot frontage shall be 25 feet, the minimum lot area shall be 2,500 square feet, and the maximum lot coverage shall be not greater than 35 percent. (2) Every semi-detached dwelling shall be at least 12 feet from any other building and at least 8 ft. from the rear and side lines of the lot on which it is situated and at least 20 ft. from any street line in front of such dwelling. (3) Where a semi-detached dwelling is situated on a corner lot, such dwelling and accessory buildings or uses shall be at least 10 feet from the flanking street line abutting such lot. (4) Notwithstanding subsection (2) where a lot containing a semi-detached dwelling is to be or has been subdivided so that each unit is on its own lot, there shall be no setback required from the common lot boundary.",What is the minimum lot frontage for a semi-detached dweling?,25 feet,Halifax
49,"Notwithstanding the provisions of other requirements: (1) For each unit of a semi-detached dwelling, the minimum lot frontage shall be 25 feet, the minimum lot area shall be 2,500 square feet, and the maximum lot coverage shall be not greater than 35 percent. (2) Every semi-detached dwelling shall be at least 12 feet from any other building and at least 8 ft. from the rear and side lines of the lot on which it is situated and at least 20 ft. from any street line in front of such dwelling. (3) Where a semi-detached dwelling is situated on a corner lot, such dwelling and accessory buildings or uses shall be at least 10 feet from the flanking street line abutting such lot. (4) Notwithstanding subsection (2) where a lot containing a semi-detached dwelling is to be or has been subdivided so that each unit is on its own lot, there shall be no setback required from the common lot boundary.",What is the maximum lot coverage for a semi-detached dwelling?,not greater than 35 percent,Halifax
50,"Buildings erected, altered or used for R-2 uses in an R-2 Zone shall comply with the following requirements: (a) Lot frontage minimum 50 feet except when a lot faces on the outer side of a curve in the street, in which case the minimum frontage may be reduced to 30 feet (b) Lot area minimum 5,000 square feet (ba) Notwithstanding clause (b), the minimum lot area for lots abutting an inland watercourse in the ""Mainland South Area"", shall be 6,000 square feet; (c) Lot coverage maximum 35 percent (ca) The maximum height shall be 35 feet (d) Floor coverage of 900 square feet living space, minimum (e) Every building shall be at least 12 feet from any other building and at least 8 feet from the rear and both side lines of the lot on which it is situated and at least 20 feet from any street line in front of such building;",What is the minimum lot area?,"5,000 square feet",Halifax
