doc_id,zone,height_answer,coverage_answer,height_ground_truth,coverage_ground_truth,comments,municipality
28,# 3.24 UW - Urban Warehouse Zone,50,6,50,Invalid,None,Edmonton
29,# 3.25 AED - Arena & Entertainment District Zone,275,85,275,Invalid,"There are actually three values for height: 180, 195, 275m. Current pipeline prompt doesn't allow LLM to respond with more than one value.",Edmonton
30,# 3.26 HA - Heritage Area Zone,115,75,115,Invalid,None,Edmonton
31,# 3.27 CCA - Core Commercial Arts Zone,150,90,150,Invalid,None,Edmonton
32,# 3.28 JAMSC - Jasper Avenue Main Street Commercial Zone,70,Invalid,70,Invalid,None,Edmonton
33,# 3.41 BP - Blatchford Parks Zone,30,15,30,15,"There are actually two values for height: 10, 30m. Current pipeline prompt doesn't allow LLM to respond with more than one value.",Edmonton
34,# 3.42 BRH - Blatchford Row Housing Zone,15,60,15,60,"There are actually two values for height: 13, 15m. Current pipeline prompt doesn't allow LLM to respond with more than one value.",Edmonton
35,# 3.43 BLMR - Blatchford Low to Medium Rise Residential Zone,45.0 m,65%,23,65,None,Edmonton
36,# 3.53 EETL - Edmonton Energy and Technology Park Logistics Zone,14,60,14,Invalid,None,Edmonton
37,# 3.54 EETM - Edmonton Energy and Technology Park Manufacturing Zone,18,50,18,Invalid,None,Edmonton
38,# 3.55 EETR - Edmonton Energy and Technology Park Industrial Reserve Zone,Invalid,60,Invalid,Invalid,None,Edmonton
39,# 3.56 EETIM - Edmonton Energy and Technology Park Medium Industrial Zone,Invalid,Invalid,18,Invalid,None,Edmonton
40,# 3.61 AES - Agricultural Edmonton South Zone,Invalid,35,Invalid,5,None,Edmonton
41,# 3.62 RCES - Country Residential Edmonton South Zone,15,60,Invalid,Invalid,None,Edmonton
42,# 3.63 RAES - Acreage Residential Edmonton South Zone,10,50,Invalid,Invalid,None,Edmonton
43,# 3.64 NSRVES - North Saskatchewan River Valley Edmonton South Zone,10,2,10,Invalid,None,Edmonton
44,# 3.65 IBES - Industrial Business Edmonton South Zone,6,80,6,80,None,Edmonton
45,# 3.67 UC3ES - Urban Commercial 3 Edmonton South Zone,14,60,14,60,"There are actually two values for height: 14, 7m. Current pipeline prompt doesn't allow LLM to respond with more than one value.",Edmonton
46,# 3.68 DC/IND - Direct Control/Industrial District Edmonton South Zone,Invalid,Invalid,Invalid,Invalid,None,Edmonton
47,# 3.71 CCHD - Clareview Campus High Density Residential Zone,45,212,45,Invalid,None,Edmonton
48,# 3.72 CCMD - Clareview Campus Medium Density Residential Zone,16,1.4,16,Invalid,"There are actually two values for height: 16, 10m. Current pipeline prompt doesn't allow LLM to respond with more than one value.",Edmonton
49,# 3.73 CCLD - Clareview Campus Low Density Residential Zone,10,47,10,47,None,Edmonton
50,# 3.74 CCSD - Clareview Campus Single Detached Residential Zone,10,45,10,45,None,Edmonton
51,# 3.75 CCNC - Clareview Campus Neighbourhood Commercial Zone,10.0 m,Invalid,10,Invalid,None,Edmonton
52,# 3.91 SLD - Stillwater Low Density Residential Zone,11,72,11,72,"There are actually five values for coverage: 60, 57, 68, 60, 72m. Current pipeline prompt doesn't allow LLM to respond with more than one value.",Edmonton
53,# 3.92 SRH - Stillwater Row Housing Zone,13.5,95,13.5,Multiple Values,There are actually multiple values for coverage. Current pipeline prompt doesn't allow LLM to respond with more than one value.,Edmonton
54,# 3.93 SRA - Stillwater Rear Attached Row Housing Zone,40,89,13.5,89,None,Edmonton
55,# 3.102 RTCR - Riverview Town Centre Residential Zone,60,60,60,Invalid,"There are actually two values for height: 60, 50m. Current pipeline prompt doesn't allow LLM to respond with more than one value.",Edmonton
56,# 3.111 RVRH - Riverview Row Housing Zone,13,57,13,57,"There are actually five values for coverage: 57, 45, 40. Current pipeline prompt doesn't allow LLM to respond with more than one value.",Edmonton
57,# 3.131 MRC - Marquis Retail Centre Zone,26,0.25,26,Invalid,None,Edmonton
58,# 3.132 MMUT - Marquis Mixed Use Transition Zone,26,0.25,26,Invalid,None,Edmonton
59,# 3.133 MMS - Marquis Main Street Zone,24,3,24,Invalid,None,Edmonton
60,# 3.134 MED - Marquis Entertainment District Zone,Invalid,Invalid,26,Invalid,None,Edmonton
61,# 3.151 PLD - Paisley Low Density Zone,12,53,12,53,There are actually multiple values for coverage. Current pipeline prompt doesn't allow LLM to respond with more than one value.,Edmonton
62,# 3.152 PRH - Paisley Row Housing Zone,12,55,12,55,There are actually multiple values for coverage. Current pipeline prompt doesn't allow LLM to respond with more than one value.,Edmonton
63,# 3.161 ALA - Ambleside Low-Rise Apartment Zone,16,1.5,16,Invalid,"There are actually two values for height: 14.5, 16m. Current pipeline prompt doesn't allow LLM to respond with more than one value.",Edmonton
64,# 3.162 ASC - Ambleside Shopping Centre Zone,40,1,40,Invalid,"There are actually two values for height: 14, 40m. Current pipeline prompt doesn't allow LLM to respond with more than one value.",Edmonton
65,# 3.163 AUVC - Ambleside Urban Village Commercial Zone,60,3,60,Invalid,None,Edmonton
66,# 3.171 GVC - Griesbach Village Centre Zone,18,50,18,50,"There are actually two values for coverage: 35, 50. Current pipeline prompt doesn't allow LLM to respond with more than one value.",Edmonton
67,# 3.172 GLD - Griesbach Low Density Residential Zone,12,53,12,53,There are actually multiple values for coverage. Current pipeline prompt doesn't allow LLM to respond with more than one value.,Edmonton
68,# 3.173 GRH - Griesbach Row Housing Zone,12,53,12,53,There are actually multiple values for coverage. Current pipeline prompt doesn't allow LLM to respond with more than one value.,Edmonton
69,# 3.174 GLRA - Griesbach Low Rise Apartment Zone,18,65,18,Invalid,None,Edmonton
70,# 3.175 GLDF - Griesbach Low Density Residential Flex Zone,23,35,12,35,There are actually multiple values for coverage. Current pipeline prompt doesn't allow LLM to respond with more than one value.,Edmonton
71,# 3.176 GMRA - Griesbach Medium Rise Apartment Zone,23,40,23,Invalid,None,Edmonton
72,# 3.181 EIB - Ellerslie Industrial Business Zone,12,60,12,Invalid,None,Edmonton
73,# 3.182 EIM - Ellerslie Medium Industrial Zone,18,2,18,Invalid,None,Edmonton
74,# 3.183 ECB - Ellerslie Business Commercial Zone,Invalid,Invalid,Invalid,Invalid,None,Edmonton
75,## 4. Specific Regulations for Small and Medium Scale Residential and Agriculture Zones,1.8,60,Invalid,Invalid,None,Edmonton
76,"## 5. Specific Regulations for Large Scale Residential, Mixed Use and Neighbourhood Commercial Zones",6,5,Invalid,Invalid,None,Edmonton
77,## 6. Specific Regulations for General Commercial and Business Employment Zones,8,Invalid,Invalid,Invalid,None,Edmonton
78,## 7. Specific Regulations for Medium and Heavy Industrial Zones,10,Invalid,Invalid,Invalid,None,Edmonton
79,"## 9. Specific Regulations for Urban Institution, Heritage Area and Direct Control Zones",Invalid,70,Invalid,Invalid,None,Edmonton
80,#### Additional Regulations for Mixed Use Zones and Main Street Developments,Invalid,Invalid,Invalid,Invalid,None,Edmonton
81,## 4. Direct Control Zones and Existing Development Permits,Invalid,Invalid,Invalid,Invalid,None,Edmonton
82,# 7.80 Application of Direct Control Zones,Invalid,Invalid,Invalid,Invalid,None,Edmonton
83,## Zone,Invalid,Invalid,Invalid,Invalid,None,Edmonton
